food,era,pair,Protein,Total lipid (fat),"Fiber, total dietary","Iron, Fe","Zinc, Zn","Magnesium, Mg","Calcium, Ca","Potassium, K","Phosphorus, P","Vitamin C, total ascorbic acid","Vitamin A, RAE",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, total",Vitamin B-12,"Selenium, Se","Manganese, Mn","Copper, Cu","Fatty acids, total omega-3",Protein_pct_rda,Total lipid (fat)_pct_rda,"Fiber, total dietary_pct_rda","Iron, Fe_pct_rda","Zinc, Zn_pct_rda","Magnesium, Mg_pct_rda","Calcium, Ca_pct_rda","Potassium, K_pct_rda","Phosphorus, P_pct_rda","Vitamin C, total ascorbic acid_pct_rda","Vitamin A, RAE_pct_rda",Vitamin E (alpha-tocopherol)_pct_rda,Vitamin K (phylloquinone)_pct_rda,Thiamin_pct_rda,Riboflavin_pct_rda,Niacin_pct_rda,Vitamin B-6_pct_rda,"Folate, total_pct_rda",Vitamin B-12_pct_rda,"Selenium, Se_pct_rda","Manganese, Mn_pct_rda","Copper, Cu_pct_rda","Fatty acids, total omega-3_pct_rda",micro_density_score,macro_density_score
"lettuce, iceberg, raw",modern,dandelion greens,0.7425,0.07375,,0.03325,0.1728,6.311,14.24,139.3,19.18,,,,20.5,0.05638,,0.2175,0.04013,,,,0.08164,0.03335,,1.485,0.11346153846153845,,0.18472222222222223,1.5709090909090908,1.5026190476190475,1.0953846153846154,2.9638297872340424,1.5344,,,,17.083333333333332,4.698333333333333,,1.359375,2.360588235294118,,,,3.549565217391305,3.705555555555555,,3.467384619856389,0.7992307692307693
"purslane, raw",ancient,"purslane, raw",2.03,0.36,,1.99,0.17,68.0,65.0,494.0,44.0,21.0,,,,0.047,0.112,0.48,0.073,12.0,0.0,0.9,0.303,0.113,,4.06,0.5538461538461538,,11.055555555555555,1.5454545454545454,16.19047619047619,5.0,10.51063829787234,3.52,23.333333333333332,,,,3.916666666666667,8.615384615384615,3.0,4.294117647058823,3.0,0.0,1.6363636363636365,13.173913043478262,12.555555555555555,,7.584216192949971,2.3069230769230766
"cucumber, raw",modern,"purslane, raw",0.62,0.18,0.5,0.0,0.2,10.0,16.0,170.0,23.0,2.8,5.0,0.03,24.0,0.027,0.033,0.098,0.04,7.0,0.0,0.3,,0.063,,1.24,0.2769230769230769,1.7857142857142856,0.0,1.8181818181818183,2.380952380952381,1.2307692307692308,3.6170212765957444,1.8399999999999999,3.111111111111111,0.5555555555555556,0.2,20.0,2.25,2.5384615384615383,0.6125,2.3529411764705883,1.7500000000000002,0.0,0.5454545454545454,,6.999999999999999,,2.8204559431193053,0.7584615384615384
stinging nettles,ancient,stinging nettles,2.71,0.11,6.9,1.64,0.34,57.0,481.0,334.0,71.0,,101.0,,498.6,0.008,0.16,0.388,0.103,14.0,,0.3,0.779,0.076,,5.42,0.16923076923076924,24.642857142857146,9.11111111111111,3.090909090909091,13.571428571428571,37.0,7.106382978723404,5.680000000000001,,11.222222222222221,,100.0,0.6666666666666667,12.307692307692307,2.4250000000000003,6.0588235294117645,3.5000000000000004,,0.5454545454545454,33.869565217391305,8.444444444444445,,16.42603281343015,2.7946153846153847
"spinach, raw",modern,stinging nettles,2.85,0.62,1.6,1.26,0.45,93.0,68.0,582.0,39.0,26.5,283.0,2.03,483.0,0.077,0.194,0.551,0.195,116.0,0.0,0.0,,0.082,,5.7,0.9538461538461539,5.714285714285714,7.000000000000001,4.090909090909091,22.142857142857142,5.230769230769231,12.382978723404255,3.1199999999999997,29.444444444444446,31.444444444444446,13.533333333333333,100.0,6.416666666666666,14.923076923076922,3.44375,11.470588235294118,28.999999999999996,0.0,0.0,,9.11111111111111,,16.23522184529455,3.326923076923077
wild blueberries,ancient,wild blueberries,0.0,0.0,4.3,0.57,,,0.0,71.0,,,,,,,,,,,,,,,,0.0,0.0,15.357142857142856,3.166666666666666,,,0.0,1.5106382978723405,,,,,,,,,,,,,,,,5.0086119554204656,0.0
"blueberries, raw",modern,wild blueberries,0.7,0.31,2.4,0.34,0.09,6.0,12.0,86.0,13.0,8.1,3.0,0.57,19.3,0.037,0.041,0.418,0.052,6.0,0.0,0.1,,0.046,,1.4,0.47692307692307695,8.571428571428571,1.8888888888888888,0.8181818181818181,1.4285714285714286,0.9230769230769231,1.8297872340425532,1.04,9.0,0.33333333333333337,3.8,16.083333333333332,3.0833333333333335,3.1538461538461537,2.6125,3.0588235294117645,1.5,0.0,0.18181818181818182,,5.111111111111111,,3.3904228337040734,0.9384615384615385
"blackberries, raw",ancient,"blackberries, raw",1.39,0.49,5.3,0.62,0.53,20.0,29.0,162.0,22.0,21.0,11.0,1.17,19.8,0.02,0.026,0.646,0.03,25.0,0.0,0.4,,0.165,,2.78,0.7538461538461538,18.928571428571427,3.4444444444444446,4.818181818181818,4.761904761904762,2.230769230769231,3.446808510638298,1.76,23.333333333333332,1.2222222222222223,7.8,16.5,1.6666666666666667,1.9999999999999998,4.0375000000000005,1.7647058823529411,6.25,0.0,0.7272727272727273,,18.333333333333336,,6.475037597878486,1.7669230769230768
"strawberries, raw",modern,"blackberries, raw",0.64,0.22,1.8,0.26,0.11,13.0,17.0,161.0,23.0,59.6,1.0,0.29,2.1,0.025,0.016,0.386,0.035,8.0,0.0,0.4,,0.035,,1.28,0.3384615384615385,6.42857142857143,1.4444444444444446,1.0,3.0952380952380953,1.3076923076923077,3.4255319148936167,1.8399999999999999,66.22222222222223,0.1111111111111111,1.9333333333333331,1.7500000000000002,2.0833333333333335,1.2307692307692308,2.4125,2.058823529411765,2.0,0.0,0.7272727272727273,,3.888888888888889,,5.418933293009606,0.8092307692307692
fiddlehead ferns,ancient,fiddlehead ferns,4.55,0.4,,1.31,0.83,34.0,32.0,370.0,101.0,26.6,181.0,,,0.02,0.21,4.98,,,0.0,,0.51,0.32,,9.1,0.6153846153846154,,7.277777777777778,7.545454545454546,8.095238095238095,2.4615384615384617,7.872340425531915,8.08,29.555555555555557,20.11111111111111,,,1.6666666666666667,16.153846153846153,31.125000000000004,,,0.0,,22.17391304347826,35.55555555555556,,14.11957124226815,4.857692307692307
"broccoli, raw",modern,fiddlehead ferns,2.57,0.34,2.4,0.69,0.42,21.0,46.0,303.0,67.0,91.3,8.0,0.15,102.0,0.077,0.114,0.639,0.191,65.0,0.0,1.6,,0.059,,5.14,0.5230769230769231,8.571428571428571,3.833333333333333,3.818181818181818,5.0,3.5384615384615383,6.446808510638298,5.36,100.0,0.8888888888888888,1.0,85.0,6.416666666666666,8.76923076923077,3.99375,11.23529411764706,16.25,0.0,2.909090909090909,,6.5555555555555545,,14.715088983111759,2.8315384615384613
"cassava, raw",ancient,"cassava, raw",1.36,0.28,1.8,0.27,0.34,21.0,16.0,271.0,27.0,20.6,1.0,0.19,1.9,0.087,0.048,0.854,0.088,27.0,0.0,0.7,0.384,0.1,,2.72,0.43076923076923085,6.42857142857143,1.5000000000000002,3.090909090909091,5.0,1.2307692307692308,5.76595744680851,2.16,22.88888888888889,0.1111111111111111,1.2666666666666666,1.583333333333333,7.249999999999999,3.692307692307692,5.3374999999999995,5.176470588235294,6.75,0.0,1.2727272727272725,16.695652173913047,11.111111111111112,,5.415598801767634,1.5753846153846156
"white potato, raw",modern,"cassava, raw",1.68,0.1,2.4,0.52,0.29,21.0,9.0,407.0,62.0,9.1,0.0,0.01,1.6,0.071,0.034,1.066,0.203,18.0,0.0,0.3,0.145,0.116,,3.36,0.15384615384615385,8.571428571428571,2.8888888888888893,2.6363636363636362,5.0,0.6923076923076923,8.659574468085106,4.96,10.11111111111111,0.0,0.06666666666666667,1.3333333333333335,5.916666666666667,2.6153846153846154,6.6625000000000005,11.941176470588237,4.5,0.0,0.5454545454545454,6.304347826086956,12.88888888888889,,4.8147046690627455,1.7569230769230768
"yam, raw",ancient,"yam, raw",1.53,0.17,4.1,0.54,0.24,21.0,17.0,816.0,55.0,17.1,7.0,0.35,2.3,0.112,0.032,0.552,0.293,23.0,0.0,0.7,0.397,0.178,,3.06,0.26153846153846155,14.64285714285714,3.0000000000000004,2.1818181818181817,5.0,1.3076923076923077,17.361702127659576,4.3999999999999995,19.0,0.7777777777777778,2.333333333333333,1.9166666666666665,9.333333333333334,2.4615384615384617,3.45,17.235294117647058,5.75,0.0,1.2727272727272725,17.260869565217394,19.77777777777778,,7.423169403302313,1.6607692307692308
"sweet potato, raw",modern,"yam, raw",2.49,0.51,5.3,0.97,,70.0,78.0,508.0,81.0,11.0,189.0,,302.2,0.156,0.345,1.13,0.19,,0.0,0.9,,,,4.98,0.7846153846153846,18.928571428571427,5.388888888888889,,16.666666666666664,6.0,10.808510638297872,6.4799999999999995,12.222222222222221,21.0,,100.0,13.0,26.538461538461533,7.062499999999999,11.176470588235295,,0.0,1.6363636363636365,,,,17.127243707180504,2.8823076923076925
